old_file,new_file,old_version,new_version,content_changed,status
20260208_add_cv_url.sql,20260208000001_add_cv_url.sql,20260208,20260208000001,false,renamed
20260208_ai_matching.sql,20260208000002_ai_matching.sql,20260208,20260208000002,false,renamed
20260208_candidates_table.sql,20260208000003_candidates_table.sql,20260208,20260208000003,false,renamed
20260208_debug_count.sql,20260208000004_debug_count.sql,20260208,20260208000004,false,renamed
20260208_disable_rls_projects.sql,20260208000005_disable_rls_projects.sql,20260208,20260208000005,false,renamed
20260208_fix_permissions_final.sql,20260208000006_fix_permissions_final.sql,20260208,20260208000006,true,renamed_and_repaired
20260208_fix_projects_rls.sql,20260208000007_fix_projects_rls.sql,20260208,20260208000007,false,renamed
20260208_fix_storage_policy.sql,20260208000008_fix_storage_policy.sql,20260208,20260208000008,false,renamed
20260208_profile_updates.sql,20260208000009_profile_updates.sql,20260208,20260208000009,false,renamed
20260208_reset_projects_rls.sql,20260208000010_reset_projects_rls.sql,20260208,20260208000010,false,renamed
20260208_storage_candidates.sql,20260208000011_storage_candidates.sql,20260208,20260208000011,true,renamed_and_repaired
20260208_storage_setup.sql,20260208000012_storage_setup.sql,20260208,20260208000012,false,renamed
20260212_centrala_tables.sql,20260212000001_centrala_tables.sql,20260212,20260212000001,false,renamed
20260212_favorite_projects.sql,20260212000002_favorite_projects.sql,20260212,20260212000002,false,renamed
20260212_project_referrals.sql,20260212000003_project_referrals.sql,20260212,20260212000003,false,renamed
20260213_contracts_table.sql,20260213000001_contracts_table.sql,20260213,20260213000001,false,renamed
20260213_notifications_system.sql,20260213000002_notifications_system.sql,20260213,20260213000002,false,renamed
20260215_loyalty_program.sql,20260215000000_loyalty_program.sql,20260215,20260215000000,false,renamed
20260216_availability_overhaul.sql,20260216000001_availability_overhaul.sql,20260216,20260216000001,true,renamed_and_repaired
20260216_chat_attachments.sql,20260216000003_chat_attachments.sql,20260216,20260216000003,false,renamed
20260216_chat_attachments_backup.sql,20260216000004_chat_attachments_backup.sql.disabled,20260216,20260216000004,true,disabled
20260216_document_system.sql,20260216000005_document_system.sql,20260216,20260216000005,false,renamed
20260216_document_system_storage.sql,20260216000006_document_system_storage.sql,20260216,20260216000006,false,renamed
